Crocus sativus
acute myocardial
VTE associated
analysis showed
cardiac arrhythmia
10 micromol
significantly superior
data obtained
highly significant
may induce
recent increase
40 mm
rare side
renal tubular
different among
creatinine concentrations
heart rates
convulsions produced
taking lithium
death among
six times
dependently increased
increased risk
increased subjective
Six cases
urine protein
values measured
without concomitant
hydroxy group
beneficial clinical
cholesterol decreased
19 months
combination chemotherapy
one cycle
hepatic impairment
positive reaction
potential duration
serum cholesterol
several hours
revealed marked
heart transplantation
three groups
convulsive dose
five cases
study provides
related behaviors
induced catalepsy
cardiac enzymes
consecutive weeks
four weeks
like receptor
physical changes
sympathetic activity
aortic blood
demonstrated elevated
total dosage
15 min
monitored using
20 micrograms
high frequency
moving rats
associated intracerebral
experimental data
mg tablets
240 mg
450 mg
behavioral seizure
without neurological
chronic hyperprolactinemia
differential effects
short duration
left kidney
brain imaging
improved within
drug intake
reduced locomotor
renal medulla
term hormone
control animals
adrenergic response
respiratory dysfunction
myocardial necrosis
four hours
cardiovascular responses
clinical improvement
systematic study
women receiving
average time
female presented
transient hypotension
adult mice
kg body
adverse effect
brain serotonin
enalapril group
likely cause
intravenous administration
vitro using
potassium concentrations
first time
significantly decreased
argatroban therapy
HCTZ therapy
pain tolerance
day schedule
brain ischemic
ischemic brain
induced nigrostriatal
administered alone
44 years
many years
produced increases
heart disease
59 year
infused rats
renal dysfunction
days earlier
various oral
one died
year period
potassium levels
hemorrhage occurred
specific type
motor dysfunction
systemic chemotherapy
amiodarone therapy
reference group
toxic neuropathy
MR study
onset heparin
dose dependently
cell transplant
approximately 12
isolated rat
physiological effects
plasma creatinine
protective activity
higher doses
previous studies
performed continuous
20 microg
brain injury
neurons within
prophylactic use
without known
seizure disorder
showed marked
12 months
evaluable patients
mg amlodipine
paclitaxel infusion
mild hypertension
cocaine use
reduce mean
cardiac conduction
cardiac tissues
stimulation test
common complication
acute tubular
occurs following
pharmacological effects
15 microg
matched case
venous blood
cholesterol less
year follow
hormone therapy
new calcium
galactose dose
combined oral
free interval
channel beta
10 000
tumor cells
interstitial cells
developed VTE
induction agent
remained normal
administered immediately
patients suffering
intrathecal administration
biochemical changes
mental changes
conventional group
possible association
15 ng
useful model
also reviewed
also suppressed
major cardiovascular
cardiac performance
systemic toxicity
increased SBP
stimulant effect
important cause
total protein
stable disease
myocardial contrast
month period
frequent adverse
protective effects
rare cases
diabetic rats
induced ALF
total daily
treated successfully
approximately 30
glomerular injury
blind study
entire study
etomidate administration
visual function
term lithium
optimal treatment
infection occurred
blood volume
increased susceptibility
endometrial disease
vitro studies
behavioral studies
normal state
decreased locomotor
adverse drug
OD group
inflammatory cells
vs 21
100 ng
behavioral seizures
reported previously
occurred within
might cause
acute thrombotic
muscle tissue
significantly reduces
clinical condition
included five
34 months
following paracetamol
occur following
caffeine exposure
normal tissue
received lidocaine
Aza patients
Eleven patients
kg per
used analgesic
major cause
major surgery
kidney model
using enzyme
primary loss
reduce cocaine
95 CI
liver disease
behavioral effects
oral administration
male rats
80 years
chronic methamphetamine
renal damage
pressure 120
studies demonstrate
phenomenon may
clinical evaluation
complication occurred
180 mg
fluvoxamine treatment
prazosin treatment
raloxifene treatment
synthase activity
II hypertension
reports suggest
frequency range
new agent
low dosage
depressed patient
two episodes
lower urine
dependent behavioral
blood glucose
toxic action
infected patients
given lead
improved cardiac
could result
injected animals
different times
lower incidence
repeated administration
bladder body
undergoing cardiac
single oral
including five
cardiac tissue
neuropathy due
fixed dose
dose tranexamic
methadone dose
identified using
placebo group
type chronic
induced burning
induced hyperammonemic
induced limbic
induced locomotion
induced lupus
induced polymorphous
induced urticaria
serious liver
occlusion associated
flow rate
intravenous amiodarone
changes occur
encephalopathy syndrome
epilepsy model
permanent renal
min post
population without
alfentanil group
lithium therapy
oral caffeine
taking oral
antiarrhythmic drug
liver tumors
motor activity
following treatments
case suggests
100 mm
four groups
urine sodium
identify risk
cardiac adrenergic
125 mg
mediated mechanisms
overall incidence
pharmacokinetic study
systolic hypertension
left coronary
postoperative seizures
intravenous morphine
mg twice
early stress
cardiac toxicity
studies confirmed
greater severity
previously demonstrated
kidney transplantation
induced cardiotoxicity
phenytoin administration
levels accompanied
protected rats
group II
may develop
HT significantly
inhibited mean
tests revealed
elderly women
performed using
16 months
ocular pain
pain admitted
prior history
resistant cardiac
vitro data
ventricular function
altered liver
normal subjects
one year
DNA levels
204 patients
burn patients
hospitalised patients
patients meeting
oral amiodarone
Chronic administration
76 cases
third group
seven years
bradycardia caused
experimental findings
60 male
associated subarachnoid
attenuated cocaine
inducing effect
Five days
induced akathisia
induced mania
II study
40 mg
higher incidence
total body
right ventricular
respiratory changes
mitochondrial damage
nephrotoxic drug
vincristine use
blocker therapy
hippocampus following
low doses
selective beta
acute kidney
anemia due
would increase
LV function
significant increases
avoidance response
male subjects
Male rats
fed rats
normal within
treated females
frequently administered
thrombocytopenia occurred
two independent
HIV disease
exhibited higher
mitochondrial function
drug challenge
dose busulfan
dose dependence
lethal dose
pretreated rats
rats pretreated
patient died
first case
standard doses
recommended doses
related complications
week course
first reported
several years
induced cystitis
complete left
evoked pain
related encephalopathy
improve blood
six dogs
testing showed
possible mechanism
obtained using
higher rates
also highly
130 mg
131 mg
320 mg
endothelial function
function remained
significant improvement
significant percentage
drug reactions
chronic phase
coronary arterial
frequently found
conscious mice
developed acute
receiving lithium
refractory cases
renal tissue
bolus group
line treatment
brain oxidative
cardiovascular toxicity
nerve toxicity
ocular toxicity
serotonin syndrome
changes leading
significantly correlated
new model
potential complication
day cycle
published case
retrospective case
micrograms kg
general clinical
central alpha
prevented development
Twelve patients
fluctuating patients
severe headache
volume per
daily oral
48 weeks
randomly received
long term
phenobarbital therapy
sirolimus therapy
20 min
prophylactic treatment
Seizures induced
induced nephrolithiasis
last dose
effects attributable
SNP group
group neither
concomitant increase
pulmonary toxicity
term HT
kidney function
clozapine significantly
ischemia due
low bone
developed neuroleptic
malignant pain
PAN group
immediately following
antibiotic treatment
bladder function
antidepressant use
bupropion use
pilocarpine alone
prophylactic administration
basal activity
studies suggest
inflammatory drug
another group
patients receiving
renal impairment
given every
toxic effect
tissue concentrations
respiratory function
groups matched
steroid groups
range 18
may improve
evaluated whether
nicotine exposure
CYA dose
dose methotrexate
white blood
25 mg
antiarrhythmic effect
chronic HBV
peripheral dopamine
pain free
severe progressive
event rate
among users
22 months
Three cases
many cases
01 vs
describe three
20 HBV
severe hypertension
study prospectively
second day
high despite
high molecular
49 days
receiving multiple
data revealed
significant prolongation
report suggests
epileptic control
prospective studies
12 hours
100 ml
93 mg
without HIV
increased anxiety
cerebral blood
known risk
50 years
stimulation revealed
different doses
decreased glutamate
cell loss
lidocaine level
acute myopathy
Two weeks
describe two
four children
appropriate therapy
marked hypertension
groups exhibited
three different
induced Wernicke
induced enlargement
induced lethality
induced morphologic
induced paranoia
induced parkinsonism
induced paw
induced sphincter
receiving amiodarone
fibrillation following
monkeys may
hypertensive animals
study indicates
plasma levels
severe hypotension
analgesic treatment
commonly reported
cases demonstrate
agent known
kidney disease
combined chemotherapy
syndrome characterized
repeated doses
heart weight
Ten rats
convulsant effects
four different
phenobarbital treatment
mean duration
dose schedule
type calcium
rat heart
induce hypotension
marked hypotension
useful drug
liver damage
mg trihexyphenidyl
mg valsartan
regimen given
associated MI
toxic side
cardiomyopathy due
weight change
study suggests
significantly differ
significantly impaired
significantly longer
brain dopamine
receiving systemic
remaining patient
cardiac outcomes
increased simvastatin
heart tissue
also exhibited
rat atrial
release rate
failure secondary
impaired renal
failure resolved
renal transplantation
possible cause
plasma level
II antagonist
week double
dose adjustment
possible adverse
inhibitor resulted
selective inhibitor
seven days
induced hypotension
study participants
CYP administration
muscle cells
finding may
methylprednisolone may
mean maximum
low dose
drug metabolism
one patient
induced overflow
induced tardive
toxicity resulting
examined using
Three groups
neuropathy caused
prolonged duration
17 months
days post
18 years
male presented
stage liver
concomitant administration
arrest associated
opioid use
years old
dyskinesias without
significantly elevated
significantly better
significantly suppressed
Animals treated
PB treated
Five patients
210 patients
eligible patients
IBS patients
patients transplanted
produced hypotension
induced hyperprolactinemia
given either
reversible adverse
concentration dependent
treatment regimens
Doxorubicin treatment
cardiac death
prolonged use
abnormalities occurred
delayed toxicity
desipramine increased
anticonvulsant effect
significant change
stimulant effects
lower concentrations
receptor gene
abnormal liver
treated animals
20 mg
renal replacement
001 vs
statistically significantly
related chest
significant insulin
BCNU administration
combined administration
minutes per
pressure elevation
cell tumor
channels may
occlusion may
caffeine doses
daily urinary
heparin therapy
time interval
cause catalepsy
marrow toxicity
five controls
cholinergic activity
ethambutol therapy
zidovudine therapy
acute stroke
free concentrations
studies revealed
increasing incidence
four stimulation
normal Wistar
also causes
levels returned
untreated mice
cardiac event
myocardial cell
prior doxorubicin
human plasma
metastatic disease
either free
major adverse
type mice
high incidence
prazosin treated
term efficacy
control groups
59 mg
remained similar
cell number
recovery time
captopril treatment
plasma ratio
dogs received
daily dose
significantly less
duration prior
patients whose
patient presented
pediatric patient
spinal injection
factors including
less often
receive one
showed delayed
mice exhibited
dopamine antagonist
adult age
year history
first postoperative
drug hypersensitivity
normal diet
clinical studies
physical therapy
valproate therapy
cortisol treatment
parallel treatment
induced chorea
induced kindling
induced rotation
induced encephalopathy
chronic pre
dependent decrease
greater decrease
infection received
different mechanisms
without bone
showed abnormal
schizophrenic patients
minutes following
inhibition within
intervention study
lasting effect
27 months
without evidence
cell volume
also attenuated
rat kidney
blood loss
75 years
reported cases
experimental myocardial
within 30
brain tumor
man developed
weeks prior
free concentration
systems may
received diazepam
therapeutic response
developing acute
Two groups
movements compared
respiratory control
32 months
term mortality
dependent reduction
system toxicity
developed large
AZT treated
central role
treated STZ
reactions occurred
20 ng
rare adverse
peak increase
small increase
whereas morphine
associated vasculitis
vasculitis associated
partial seizures
induced aplastic
effects differ
pressor effects
chronic low
particularly high
diastolic function
drugs might
underlying disease
versus 11
also examined
chronic post
years post
also prevented
controlled studies
binding studies
alterations observed
week 16
whether chronic
received standard
toxic hepatitis
induced nephrosis
term memory
heart transplant
patient experienced
cardiovascular function
significant protective
week trial
recommended dose
serum concentration
new combination
developed complete
stroke rate
change significantly
male mice
chronic renal
even less
effects include
10 ng
significantly reversed
prospective clinical
test morphine
topical administration
carbamazepine therapy
myocarditis associated
induced vasoconstriction
induced anxiety
induced nephrotic
26 months
doses tested
renal cortex
Three patients
110 patients
154 patients
patients unable
increasing pain
chemotherapy including
Acute liver
cimetidine levels
serum level
sirolimus use
high cumulative
dependent increase
direct effect
patient continued
treated epileptic
abnormal cardiac
less sensitive
induced nephropathy
acute encephalopathy
mean pulmonary
prolonged oral
75 min
using human
active drug
drug susceptibility
second group
following spinal
vs placebo
known adverse
clinical monitoring
vascular disease
initial dose
pressure remained
received intravenous
10 mg
revealed positive
one case
various time
animal groups
14 mm
succinylcholine administration
older patients
patients presenting
following anesthesia
following bone
clinically used
treated rats
dose combinations
non selective
Although intravenous
SRL therapy
per min
induced cardiomyopathy
Hypotension induced
baseline within
crisis induced
induced TMA
induced aggressiveness
lower baseline
maximum doses
effective plasma
pilocarpine injection
adult rat
developed sustained
six controls
locomotor time
syndrome might
neurotoxicity incidence
users performed
sedation group
age 60
blood cells
increased sensitivity
mice leading
135 mg
frequently observed
METH significantly
severe neurotoxicity
underlying heart
refractory disease
induced locomotor
less important
chronic kidney
clinical examination
study investigated
positive rate
plasma lidocaine
cardiovascular effects
antiarrhythmic effects
changes might
three hours
one percent
female mice
serum levels
30 ng
treated WT
woman developed
bromocriptine treatment
disorder caused
amphetamine use
also suggested
mitochondrial toxicity
results showed
motor seizures
coronary heart
maximum heart
systolic function
Ten patients
human serum
starting therapy
cisplatin administration
drug condition
plus placebo
significant proteinuria
usually associated
use appears
ALF patients
significant relationship
versus similar
years among
Chinese patients
controls 18
sham rats
induce acute
memory function
first report
vivo injection
fentanyl administration
versus control
possibly associated
12 subjects
venous pressure
16 years
induced hemolysis
often used
two times
cardiomyopathy related
35 years
chronic epinephrine
group exhibited
hypertensive group
investigated using
following status
prevented seizures
later found
within normal
patient population
ketoconazole treatment
require treatment
42 days
induced glaucoma
exhibited significantly
dopaminergic function
observed even
type controls
Six patients
also seen
brain activation
per 100
renal interstitial
70 mg
tolerated dose
frequently associated
known coronary
study involving
cardiac complications
rare syndrome
received cisplatin
previously treated
control eyes
experienced severe
rat brain
within 12
MI rats
mean follow
low incidence
revealed loss
11 ml
showed improvement
developed transient
high grade
ribavirin therapy
stress test
disease state
dose limiting
first described
cyclophosphamide therapy
total dose
animals treated
studies indicate
hypotensive drug
life changes
marked changes
experimental pain
decreased arterial
infant rats
cell stimulation
response relationship
arthritis treated
serotonin receptor
sulfate treated
51 patients
African patients
Eight patients
Four patients
MC patients
Nine patients
consecutive patients
parkinsonian patients
patients experiencing
patients recovered
patients submitted
also known
several drugs
myopathy may
serum sodium
treatment protocol
right heart
vitro showed
standard therapy
renal artery
total cardiovascular
patient developed
micrograms daily
erythrocytes induced
induced erythema
induced experimentally
induced nystagmus
hypotensive effects
clinical parameters
remained well
also resulted
three subjects
medical treatment
IV disease
toxicities associated
less marked
pain score
various doses
related pulmonary
mediated hypotension
may influence
three weeks
female patient
greater risk
mg per
levels obtained
induced dyskinesia
hepatotoxicity associated
chronic propranolol
different concentrations
standard clinical
isoproterenol injection
mean daily
mean difference
nerve function
cell damage
metastatic renal
renal functional
tested using
standard dose
birth dose
dose calculated
acute stage
months follow
amnesia induced
induced vasculitis
significant protection
analgesic effect
sensitive cardiac
penicillamine treatment
important side
antidepressant therapy
indomethacin therapy
initial therapy
testosterone therapy
high serum
second case
low frequency
effective doses
showed evidence
high dosage
within 60
developed grade
induced seizures
elevated plasma
also produced
mg ibuprofen
increased tremor
blocking drug
amphetamine injection
several months
studies suggested
60 mg
nine days
induced myoclonus
rat urinary
05 vs
acute phase
significantly enhanced
measured daily
developed progressive
children without
Two patients
five patients
catalepsy induced
severe signs
cardiac mitochondrial
experienced seizures
propranolol therapy
AmB treatment
treatment unit
dogs receiving
chronic nicotine
mg daily
cause severe
various clinical
memory test
first day
administered five
three drugs
single 50
10 days
hepatic toxicity
drug users
healthy 50
may thus
high concentrations
also impaired
placebo groups
groups based
strain rats
dopamine beta
times control
also showed
combined therapy
induced optic
reduced proteinuria
developed signs
changes occurred
hormone use
present results
10 mm
studies using
concomitant treatment
injury due
100 protein
like adverse
major clinical
13 days
three doses
medical therapy
higher risk
carbimazole induced
induced LH
severe complication
kidney damage
estradiol treatment
doxorubicin given
mitochondrial activity
progressive renal
cancer among
receiving high
LV administration
conditions associated
aspirin use
age range
severe bradycardia
injection duration
bipolar patient
following oral
clinical symptoms
seizure development
without impairment
35 days
normal coronary
identifying patients
oncology patients
chronic cocaine
Warfarin treatment
appropriate treatment
motor side
three cases
induced neurotoxicity
min later
positive control
saline control
eight patients
hyperalgesia significantly
induced myocardial
13 months
failure following
term oral
acute cardiovascular
received saline
neuropathy model
important adverse
several days
acute hypertension
rats exhibited
induced antibodies
users receiving
induced hypertension
lithium concentration
topical treatment
min recovery
also statistically
calcium levels
first week
exposed group
hypotensive group
insulin group
reaction time
received DOX
renal lesions
elevated blood
potential adverse
four subjects
dysfunction due
bupivacaine levels
fold increased
induced fulminant
reactions associated
mean differences
infusion versus
although less
single intravenous
related adverse
whether myocardial
inhibitors may
also negative
lithium level
lower doses
dose reduction
less common
severe anemia
effective chemotherapy
patients hospitalized
included age
myocardial dysfunction
also studied
renal vascular
10 minutes
nine patients
health effects
nephropathy group
schizophrenia treated
mg OD
mg ketoconazole
developed moderate
developed thrombosis
repeated treatment
terbutaline treatment
revealed severe
epileptic group
remained significant
cancer incidence
muscle pain
complications associated
associated myopathy
levodopa adverse
studies evaluated
low toxicity
multiple cases
within four
also determined
intact rats
rats anesthetized
higher number
within one
50 mm
cardiac evaluation
like drugs
chronic liver
five years
propranolol toxicity
may affect
may possibly
patient receiving
induced torsade
administration resulted
including age
brain concentration
also reduced
20 weeks
treated metastatic
Patients received
known side
phenytoin treatment
timolol treatment
drug treatments
inhibitory effects
30 mg
associated myalgia
probably associated
without levodopa
also received
safe administration
male patient
induced diabetes
15 days
patient underwent
pain following
bradycardia following
cardiac history
untreated rats
days prior
may reduce
treated eyes
22 cases
received bupivacaine
higher total
motor symptoms
high dose
proteinuria associated
affect renal
04 mg
six days
per week
SHR treated
leukemia treated
treated SHR
treated spontaneously
Sixty patients
Fourteen patients
ICU patients
coronary blood
users showed
response remained
also observed
either intravenous
evaluate two
several cases
two models
decreased urinary
10 healthy
also improved
months duration
hemorrhage associated
often associated
renal disease
45 days
induced cholestasis
factors related
elevated serum
including hypotension
present experimental
hepatitis due
receptor expression
controlled study
induced hepatotoxicity
induced nephrotoxicity
induced ocular
behavioral toxicity
receptors may
sodium level
period using
kg intravenously
transplant patient
increased incidence
control versus
related side
showed significant
infusion followed
induced cholestatic
induced muscular
carcinoma developed
lamivudine group
prior myocardial
single high
receive 10
acute reversible
12 healthy
motor control
severe motor
pain responses
treated according
animals indicate
Two studies
fluoxetine effect
VPA treatment
disease underwent
induced parkinsonian
caffeine administration
dose dyskinesias
given four
rate remained
potential cause
complications related
intravenous injection
MAP may
developed postoperative
induced hemolytic
three agents
increasing effects
myocardial stress
children treated
conduction study
kidney adverse
decreased creatinine
hyperactivity induced
induced hiccups
dose dyskinesia
development system
results suggested
vivo results
seizures within
12 years
tests showed
control ratio
acetaminophen group
PD patients
also decreased
lithium treatment
drug conditions
subjects received
oral exposure
placebo vs
bolus dose
dose testosterone
findings showed
possible side
neuropathy using
combination could
death rate
muscle cell
man reported
15 mm
negative effect
enalapril treatment
treatment schedule
elderly patient
day 21
randomized study
associated hemolytic
surgical patients
effect appears
acute toxic
induced hyperalgesia
study examined
causes significant
85 mg
mg intravenously
receiving single
free drug
lithium levels
renal cell
also suggest
associated delirium
associated mental
defects associated
patients died
systemic administration
acute respiratory
damage caused
exposed rats
chronic inhibition
mean body
two drugs
25 per
injection resulted
studies showed
Cancer patients
Japanese patients
patients evaluable
ten patients
enzyme levels
using oral
acute onset
second time
induced diabetic
used alone
may produce
severe hepatitis
late effects
000 patient
groups although
normal human
patients experienced
received free
inhibitor therapy
less severe
increased urine
old patient
levodopa dose
29 patients
37 patients
five weeks
years previously
warfarin therapy
mean change
induced apoptosis
induced tachycardia
induced leukoencephalopathy
induced ototoxicity
first seizure
cause acute
time period
showed complete
bipolar patients
clinical recovery
also experienced
six years
reported case
onset time
acute cisplatin
following prolonged
therapeutic dose
two different
associated hyperprolactinemia
continued treatment
chronic coronary
used oral
novel drug
One case
One day
animals receiving
renal toxicity
two doses
cocaine exposure
factors associated
may need
high mortality
related cardiotoxicity
pain model
stopped treatment
experimental studies
clinical diagnosis
patient admitted
two minutes
cardiac muscle
increased resistance
also shown
level decreased
cardiac function
11 months
25 months
per 10
peak dose
15 mg
fluoxetine treatment
revealed low
30 mm
young group
mice resulted
baseline blood
induced hallucinations
damage produced
showed elevated
transplant patients
rare case
different brain
saline injection
specific clinical
renal involvement
expression analysis
revealed significant
clinical evidence
bone disease
liver dysfunction
blood cell
normal findings
hypotension produced
early changes
status changes
dose intravenous
dexamethasone treatment
starting treatment
low risk
contrast injection
without chronic
induced hyperthermia
induced intracerebral
induced manic
mean calcium
week period
expression level
failure caused
new cases
min prior
14 months
following pilocarpine
system side
like effects
DOX control
antagonists may
min followed
24 weeks
control study
dose haloperidol
developed severe
associated hepatotoxicity
complication associated
secretion associated
following six
within 10
adult patients
overall effect
possible risk
decreased significantly
present studies
pulmonary disease
control rats
infusion time
coronary disease
decreased renal
transient renal
multiple dose
tolerance study
low concentrations
also cause
four patients
week 24
increased oxidative
patient taking
higher rate
amiodarone treatment
cause seizures
group angiotensin
receiving oral
40 days
13 years
acute pain
alone decreased
consecutive renal
toxicity following
following surgery
baseline levels
receptor selective
animals received
later developed
controlled clinical
cocaine toxicity
ventricular pressure
dose carboplatin
clinical data
increased proteinuria
rat liver
higher concentrations
amiodarone use
risk remained
drug regimen
results revealed
dose range
maximum dose
events following
elevated cardiac
present case
lindane induced
baseline serum
morphine administration
mice tested
salt rats
third patient
higher levels
agonist significantly
significantly affected
also assessed
ambulatory patients
dyskinetic patients
tuberculosis patients
term exposure
investigated changes
day surgery
first 24
treatment discontinuation
independent effects
women years
hippocampus treated
failure due
protein levels
system activity
synthesis may
significant changes
patients aged
high risk
injection pain
cardiac failure
five groups
complete blood
using different
weeks followed
also significantly
19 days
initial treatment
without significant
age groups
subjects treated
pain mechanisms
patients requiring
increased urinary
renal excretion
significant mortality
day four
levels remained
mice remained
associated conditions
cardiac damage
induced hypokalemia
PAN rats
one day
receptor type
mean weight
pressure increases
low level
gentamicin administration
may also
randomized clinical
significantly prevented
statistically increased
morphine infusion
disease among
treatment groups
treatment resulted
pressure change
significantly increases
chronic pain
verapamil therapy
induced dementia
induced myopathy
concentration increased
normal serum
myocardial cells
four cases
used second
kg dosing
group received
causes increased
model analysis
glomerular disease
complication may
effective treatment
two months
experimental study
tissue levels
bladder pressure
18 weeks
severe left
may even
mechanisms may
mean loss
median dose
dose level
nephritis induced
subjects without
induced anemia
reduced plasma
patients completed
hospitalized patients
patients complained
patients currently
predominant patients
symptoms within
four days
severe side
increased significantly
epileptic rats
maximum effect
greater mean
dose ifosfamide
events related
also performed
day 14
induced hemorrhagic
hours following
patients taking
day isoproterenol
one kidney
mice received
apomorphine treatment
protein changes
negative effects
40 years
chronic alpha
group remained
related seizure
significant complications
per patient
cases per
term administration
injected rats
cause significant
cancer development
13 patients
results demonstrated
induced brief
pressure decrease
patient required
incidence rate
disease mortality
also caused
acute nephrotoxicity
observed among
potential risk
therapeutic use
day course
higher serum
lower risk
64 patients
remaining patients
pretreatment levels
000 mg
90 mg
mg nicotine
period following
developed cardiotoxicity
serum lithium
three days
required therapy
normal left
receiving long
male received
change cardiac
within 20
nephrotic rats
diazepam group
adverse symptoms
rats given
term combination
induced immune
first injection
experimental groups
prolonged administration
either blood
patients referred
group differences
developed major
discontinued therapy
imaging study
STZ treatment
liver cancer
significant bradycardia
chronic administration
episodes associated
revealed normal
significant greater
24 months
three months
chronic morphine
50 per
normal plasma
47 mg
cancer patients
revealed decreased
significant impairment
clinical findings
clinical efficacy
induced sensitization
two events
cells per
individual patients
open study
saline group
DOX rats
also demonstrated
12 days
brain activity
heart events
following single
induction therapy
two seizure
lower serum
elderly group
months revealed
associated stroke
weeks following
also presented
effects included
observed positive
rats received
required treatment
chronic non
increases blood
hypotension occurred
patient exhibited
two agents
dose cisplatin
II clinical
data showed
study population
10 min
received single
oral dose
developed prolonged
week following
two years
including two
pediatric patients
susceptible patients
including one
20 cases
dose dexamethasone
blood level
epinephrine treatment
ISO induced
induced aggressive
induced angioedema
induced apoptotic
induced hyperkalemia
pain control
pain could
brain expression
11 years
25 years
chronic heart
30 days
mediated acute
15 cases
high among
mg protein
mg bolus
also used
effects including
seven patients
groups II
HIT patients
60 weeks
studied using
drug concentrations
induced arrhythmias
administered 30
normal controls
treatment regimen
dopaminergic therapy
changes produced
induced head
three women
animal study
disease duration
control dogs
per group
cardiovascular risk
dependent effect
effect relationship
antagonist used
II also
ribavirin treatment
14 years
two children
two hours
five days
Cocaine induced
induced epithelial
mean effective
drug action
study evaluated
dose cyclophosphamide
62 patients
selected patients
160 patients
82 patients
AIDS patients
younger patients
thrombosis associated
second patient
three patients
term treatment
Parkinson disease
may indicate
drug exposure
following exposure
neurotoxicity may
potential toxicity
treated group
without seizures
Forty patients
two patients
DOX treatment
following intravenous
risk surgery
tacrolimus therapy
toxicity due
rats relative
age 50
compared among
related brain
normal renal
11 patients
reported side
patients admitted
controls received
DOX administration
kg DOX
task induced
induced arrhythmia
induced striatal
cocaine concentration
dysfunction may
study indicate
present data
infusion rate
damage due
acute hepatic
acute infarction
following chronic
carbamazepine dose
induced bradycardia
demonstrated significant
patient tolerated
brain function
low brain
patients suffered
clozapine treatment
treatment outcomes
first year
hypotension due
experimental group
increased nicotine
history significant
single doses
high protein
receptor concentration
rat ventricular
hypertrophy induced
may increase
term infusion
hepatitis following
higher plasma
different groups
rats treated
high levels
30 years
also occurred
received oral
left heart
effective dose
also increased
acute coronary
confusion induced
median disease
adriamycin dose
induced status
rats died
two weeks
serum total
dexamethasone therapy
baseline compared
significant number
21 patients
performed significantly
patient history
also evaluated
animals showed
sodium group
study end
bupivacaine administration
patients subjected
old women
following administration
increased expression
decreased expression
term effects
normal control
study included
coronary syndrome
received coronary
women without
seizures following
mg every
showed either
day follow
term adverse
12 mg
induced mood
induced platelet
induced secondary
cancer risk
similar studies
higher activity
doxorubicin administration
factors may
untreated patients
ratio associated
001 compared
prevention study
previous study
35 mg
cases reported
prior therapy
severe acute
significant role
days previously
patients developed
groups revealed
induced cortical
syndrome following
first two
significantly prolonged
cardiac injury
response test
dose regimen
induced dopaminergic
patients developing
CHF patients
complications may
cardiac disease
cardiac rate
16 days
induced extrapyramidal
induced reductions
received combination
10 weeks
renal recovery
daily doses
doses daily
four doses
related drugs
based study
dopamine levels
pain syndrome
patient received
associated bladder
induced muscle
significant positive
ribavirin dose
levels decreased
normal occurred
drug use
associated visual
propranolol group
levels measured
renal complications
cyclophosphamide associated
85 patients
female patients
renal plasma
nephrotoxicity may
could also
toxicity studies
doses studied
11 cases
without side
induced delirium
low levels
lidocaine group
three years
induced acute
patients chronically
without heart
combined treatment
rate decrease
occurred following
dysfunction associated
adverse cardiac
day 13
treated groups
19 patients
cyclophosphamide treatment
using two
severe heart
chronic use
effects occurred
low serum
induced headache
induced hippocampal
induced increases
term therapy
levodopa administration
developed left
concentrations increased
significantly among
tachycardia associated
38 patients
cyclosporine patients
damage following
developed anemia
treated mice
also found
convulsions induced
mean 24
significant weight
high sodium
study period
term studies
role function
study assessed
patient described
acute period
severe cardiac
patients required
patients initially
hyperprolactinemia induced
caused acute
mortality associated
patient remained
blood concentrations
among patients
animals without
second dose
either drug
developed within
carbamazepine treatment
total doses
patients received
mean plasma
pain period
term pain
patients without
following treatment
31 mg
toxicity data
cardiac beta
induced epilepsy
steroids induced
caused significant
liver toxicity
per dose
patients pretreated
clinical use
PAN treatment
control mice
day period
either control
sensitive rats
test results
demonstrated increased
acid infusion
17 10
induced cardiac
decreased plasma
cocaine administration
severe adverse
peripheral effects
reduced blood
related toxicity
showed changes
day 30
similar increase
high concentration
higher dose
haloperidol administration
psychosis patients
estrogen induced
different days
drug therapy
developed either
mg doxorubicin
also effective
drug concentration
increased bladder
care patients
decreased cardiac
pretreatment group
four control
acute toxicity
sodium levels
drug history
10 dogs
effective drug
induced rigidity
ischemia induced
oral drug
increased among
increased number
mice treated
weeks caused
activity test
prior administration
days caused
heart syndrome
patients enrolled
mice showed
normal rats
induced pressor
similar clinical
clinical pain
produced significant
following myocardial
study suggest
studies may
treatment period
renal blood
control level
mean dose
infusion pain
pain due
reduced compared
disease caused
report two
induced memory
associated nephrotoxicity
24 days
ventricular rate
effect mediated
epileptic patients
six patients
syndrome due
rate pressure
week treatment
associated proteinuria
20 years
16 patients
induced MI
induced reflex
73 patients
dose amiodarone
vivo study
mg paclitaxel
drug toxicity
hyperalgesia induced
human renal
decreased blood
drug administration
Acute treatment
developed renal
old rats
infarction may
decreased incidence
study experienced
study involved
symptoms following
case reported
either group
induced retention
rats compared
significant adverse
anemia associated
peripheral effect
drug alone
injection drug
showed increased
heart damage
effective renal
drug combination
acute heart
model group
received high
common drug
acid levels
present report
related cardiac
induced lung
prolongation induced
chronic seizures
without pain
related myocardial
developed seizures
given 30
severe pain
using cocaine
warfarin treatment
induced behavioral
action may
data also
15 months
41 patients
10 hours
rats exposed
induced peak
induced SE
myocardial function
severe changes
14 patients
term cardiac
decreased serum
one side
receptors increased
produced significantly
mice following
exposure days
